Agent ID,Episode Number,Episode Score,Actor Learning Rate,Critic Learning Rate,Discount Factor,Entropy Coefficient,Actor Loss,Critic loss
1,371,141.0,0.000782,0.000724,0.988961,0.00043,3187.287353515625,175.3580322265625
2,374,118.0,0.000782,0.000724,0.988961,0.00043,2068.171630859375,137.29385375976562
3,378,163.0,0.0007,0.0007,0.7818,0.001,-15.892056465148926,0.08582204580307007
3,379,37.0,0.0007,0.0007,0.7818,0.001,2.561051845550537,0.06480947136878967
2,375,200.0,0.000782,0.000724,0.988961,0.00043,5420.72607421875,259.0185852050781
1,372,200.0,0.000782,0.000724,0.988961,0.00043,5086.36083984375,256.6003112792969
3,380,164.0,0.0007,0.0007,0.7818,0.001,-5.930290222167969,0.06268174201250076
3,381,101.0,0.0007,0.0007,0.7818,0.001,19.20107078552246,0.04912116378545761
2,376,191.0,0.000782,0.000724,0.988961,0.00043,4766.10302734375,245.0836181640625
1,373,200.0,0.000782,0.000724,0.988961,0.00043,5225.8173828125,255.75442504882812
3,382,194.0,0.0007,0.0007,0.7818,0.001,44.204586029052734,0.035618796944618225
