Agent ID,Episode Number,Episode Score,Actor Learning Rate,Critic Learning Rate,Discount Factor,Entropy Coefficient,Actor Loss,Critic loss
3,80,120.0,0.001,0.001,0.99,0.0003,-486.45849609375,16.02823257446289
1,81,80.0,0.001,0.001,0.99,0.0007,-898.2420043945312,76.99708557128906
2,68,200.0,0.001,0.001,0.99,0.0003,-859.0287475585938,109.04469299316406
1,82,156.0,0.001,0.001,0.99,0.0007,-440.7237854003906,82.1434555053711
3,81,193.0,0.001,0.001,0.99,0.0003,1469.510009765625,46.90277862548828
2,69,200.0,0.001,0.001,0.99,0.0003,369.3275451660156,43.78480529785156
1,83,166.0,0.001,0.001,0.99,0.0007,-647.2506713867188,113.2779769897461
3,82,200.0,0.001,0.001,0.99,0.0003,597.3335571289062,24.845687866210938
2,70,200.0,0.001,0.001,0.99,0.0003,509.39190673828125,35.08377456665039
1,84,137.0,0.001,0.001,0.99,0.0007,-24.550323486328125,62.9084358215332
3,83,200.0,0.001,0.001,0.99,0.0003,491.219482421875,20.209325790405273
1,85,86.0,0.001,0.001,0.99,0.0007,-497.0171203613281,57.71259307861328
2,71,166.0,0.001,0.001,0.99,0.0003,330.3812561035156,28.76603126525879
1,86,80.0,0.001,0.001,0.99,0.0007,-433.6322021484375,44.673519134521484
3,84,171.0,0.001,0.001,0.99,0.0003,459.1449890136719,15.909977912902832
2,72,98.0,0.001,0.001,0.99,0.0003,-557.511474609375,29.347457885742188
1,87,94.0,0.001,0.001,0.99,0.0007,-254.70726013183594,46.84064865112305
3,85,200.0,0.001,0.001,0.99,0.0003,356.8623046875,15.268953323364258
2,73,200.0,0.001,0.001,0.99,0.0003,-199.62826538085938,63.80133056640625
1,88,200.0,0.001,0.001,0.99,0.0007,1551.469970703125,83.80464172363281
3,86,200.0,0.001,0.001,0.99,0.0003,-752.5046997070312,51.37722396850586
1,89,147.0,0.001,0.001,0.99,0.0007,197.52969360351562,54.44111251831055
2,74,200.0,0.001,0.001,0.99,0.0003,901.865234375,54.277381896972656
2,75,114.0,0.001,0.001,0.99,0.0003,-246.84817504882812,13.345169067382812
