Agent ID,Episode Number,Episode Score,Actor Learning Rate,Critic Learning Rate,Discount Factor,Entropy Coefficient,Actor Loss,Critic loss
3,310,41.0,0.001123,0.000443,1,0.001018,8.933023452758789,37.81846237182617
2,314,46.0,0.0009,0.0007,0.8556,0.001,0.410947322845459,0.2627151608467102
1,306,102.0,0.001123,0.000443,1,0.001018,24.154010772705078,302.4573059082031
3,311,47.0,0.001123,0.000443,1,0.001018,10.95058536529541,52.905487060546875
2,315,66.0,0.0009,0.0007,0.8556,0.001,-0.03675532341003418,0.3032708168029785
1,307,76.0,0.001123,0.000443,1,0.001018,16.162031173706055,158.3726043701172
3,312,53.0,0.001123,0.000443,1,0.001018,11.800605773925781,69.0238037109375
2,316,28.0,0.0009,0.0007,0.8556,0.001,-0.07571448385715485,0.29029688239097595
2,317,39.0,0.0009,0.0007,0.8556,0.001,0.33488729596138,0.26316961646080017
1,308,59.0,0.001123,0.000443,1,0.001018,13.780563354492188,90.41812896728516
2,318,21.0,0.0009,0.0007,0.8556,0.001,-0.39306023716926575,0.43181735277175903
2,319,53.0,0.0009,0.0007,0.8556,0.001,0.3709293305873871,0.2561734616756439
1,309,79.0,0.001123,0.000443,1,0.001018,18.237972259521484,174.9754180908203
3,313,193.0,0.001123,0.000443,1,0.001018,52.661922454833984,1122.41748046875
2,320,35.0,0.0009,0.0007,0.8556,0.001,0.1692284643650055,0.24983449280261993
3,314,46.0,0.001123,0.000443,1,0.001018,9.762699127197266,49.60433578491211
2,321,51.0,0.0009,0.0007,0.8556,0.001,0.31258490681648254,0.24792733788490295
1,310,72.0,0.001123,0.000443,1,0.001018,16.431198120117188,140.11392211914062
3,315,33.0,0.001123,0.000443,1,0.001018,5.573149681091309,21.94374656677246
2,322,25.0,0.0009,0.0007,0.8556,0.001,-0.04825605824589729,0.2577246129512787
1,311,65.0,0.001123,0.000443,1,0.001018,16.282121658325195,110.43692779541016
3,316,62.0,0.001123,0.000443,1,0.001018,14.134228706359863,97.9901123046875
2,323,80.0,0.0009,0.0007,0.8556,0.001,0.14322489500045776,0.2912970781326294
3,317,42.0,0.001123,0.000443,1,0.001018,7.1633501052856445,40.49020767211914
2,324,19.0,0.0009,0.0007,0.8556,0.001,-0.7528830766677856,0.42772966623306274
1,312,66.0,0.001123,0.000443,1,0.001018,16.88848876953125,116.10285949707031
3,318,51.0,0.001123,0.000443,1,0.001018,10.520853042602539,62.97502517700195
1,313,54.0,0.001123,0.000443,1,0.001018,13.02600383758545,73.57051086425781
2,325,76.0,0.0009,0.0007,0.8556,0.001,0.5283949375152588,0.24342775344848633
3,319,39.0,0.001123,0.000443,1,0.001018,7.329692840576172,33.45069122314453
1,314,52.0,0.001123,0.000443,1,0.001018,12.31376838684082,66.2350845336914
2,326,33.0,0.0009,0.0007,0.8556,0.001,0.2285713255405426,0.23610888421535492
3,320,67.0,0.001123,0.000443,1,0.001018,15.607126235961914,117.57364654541016
2,327,67.0,0.0009,0.0007,0.8556,0.001,-0.16041262447834015,0.3455688953399658
1,315,58.0,0.001123,0.000443,1,0.001018,13.139599800109863,87.93099975585938
1,316,29.0,0.001123,0.000443,1,0.001018,5.3423309326171875,16.28819465637207
2,328,62.0,0.0009,0.0007,0.8556,0.001,0.3513869345188141,0.1756439507007599
3,321,95.0,0.001123,0.000443,1,0.001018,23.25209617614746,251.4508819580078
3,322,40.0,0.001123,0.000443,1,0.001018,8.921716690063477,35.115413665771484
1,317,107.0,0.001123,0.000443,1,0.001018,25.245027542114258,333.03692626953125
2,329,78.0,0.0009,0.0007,0.8556,0.001,0.18924099206924438,0.18997439742088318
2,330,30.0,0.0009,0.0007,0.8556,0.001,0.005924596916884184,0.24751321971416473
3,323,53.0,0.001123,0.000443,1,0.001018,12.822032928466797,65.39498138427734
1,318,57.0,0.001123,0.000443,1,0.001018,12.954224586486816,81.48802947998047
3,324,52.0,0.001123,0.000443,1,0.001018,11.84152603149414,64.8023452758789
2,331,58.0,0.0009,0.0007,0.8556,0.001,0.415927916765213,0.22008071839809418
1,319,48.0,0.001123,0.000443,1,0.001018,9.91356086730957,54.54077911376953
3,325,45.0,0.001123,0.000443,1,0.001018,7.941490173339844,46.473934173583984
2,332,39.0,0.0009,0.0007,0.8556,0.001,-0.3672672510147095,0.3028002381324768
3,326,51.0,0.001123,0.000443,1,0.001018,12.275900840759277,63.01174545288086
2,333,36.0,0.0009,0.0007,0.8556,0.001,0.21385332942008972,0.2528512179851532
1,320,82.0,0.001123,0.000443,1,0.001018,20.182037353515625,188.82870483398438
2,334,38.0,0.0009,0.0007,0.8556,0.001,0.15556997060775757,0.2176601141691208
1,321,50.0,0.001123,0.000443,1,0.001018,11.337803840637207,60.19465255737305
2,335,25.0,0.0009,0.0007,0.8556,0.001,-0.09118712693452835,0.24230681359767914
2,336,27.0,0.0009,0.0007,0.8556,0.001,-0.013333610258996487,0.2246052771806717
3,327,96.0,0.001123,0.000443,1,0.001018,28.178117752075195,256.0284729003906
1,322,78.0,0.001123,0.000443,1,0.001018,19.74147605895996,161.41720581054688
3,328,44.0,0.001123,0.000443,1,0.001018,8.981527328491211,44.5886344909668
1,323,39.0,0.001123,0.000443,1,0.001018,8.272998809814453,33.78226089477539
1,324,36.0,0.001123,0.000443,1,0.001018,7.329545974731445,26.879352569580078
2,337,124.0,0.0009,0.0007,0.8556,0.001,0.35604342818260193,0.12966391444206238
2,338,40.0,0.0009,0.0007,0.8556,0.001,0.1918022334575653,0.19622157514095306
3,329,119.0,0.001123,0.000443,1,0.001018,27.819581985473633,407.74700927734375
2,339,27.0,0.0009,0.0007,0.8556,0.001,-0.016306806355714798,0.22101278603076935
1,325,90.0,0.001123,0.000443,1,0.001018,22.90036392211914,227.7999725341797
